"X","ministro","ministerio","presidente","correccion_fechadeentrada","correccion_fechadesalida","diferencia_dias","duration_minister_in_yrs","comienzo_administracion","fin_administracion","comienzo_regimen","fin_regimen","x1_administracion","x2_administracion","x1_regimen","x2_regimen","dummy_replacement","tipo_regimen","clasificacion_area","clasificacion_area_amplio","cantidaddevecesqueocupounm","informacion_personal_nacimiento_date","provincia_nacimiento","educacion_educado_en","informacion_profesional_ocupacion","informacion_profesional_partido_politico","informacion_personal_nacimiento_place","informacion_personal_fallecimiento_date","informacion_personal_fallecimiento_place","informacion_personal_nacionalidad","informacion_profesional_miembro_de","informacion_profesional_rama_militar","informacion_profesional_rango_militar","Year"
1,"Guillermo Rawson","interior","Bartolome Mitre",1862-10-12,1868-01-22,1928,5.27857631759069,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1928,264,1928,22872,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1821-06-24","San Juan","Facultad de Medicina, Universidad de Buenos Aires.","Médico, higienista y político.","Partido Nacionalista
","San Juan, Provincias Unidas del Río de la Plata","1890-02-02","París, Francia","Argentina",NA,NA,NA,1862
2,"Rufino de Elizalde","relaciones exteriores","Bartolome Mitre",1862-10-15,1867-09-07,1788,4.8952772073922,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1791,401,1791,23009,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",3,"1822-08-16","Buenos Aires","Universidad de Buenos Aires","Abogado","Partido Liberal
(1852-1863)
Partido Nacionalista
(1863-1880)
Partido Liberal
(1880-1887)","Buenos Aires, Argentina","1887-03-13","Buenos Aires, Argentina","Argentina",NA,NA,NA,1862
3,"Marcelino Ugarte","relaciones exteriores","Bartolome Mitre",1867-09-07,1868-01-27,142,0.388774811772758,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1933,259,1933,22867,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1855-05-28","Buenos Aires",NA,"Político","Partido Autonomista Nacional
Partidos Unidos","Buenos Aires (Argentina)","1929-08-06","Buenos Aires (Argentina)","Argentina",NA,NA,NA,1867
4,"Rufino de Elizalde","relaciones exteriores","Bartolome Mitre",1868-01-27,1868-10-12,259,0.709103353867214,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",2192,0,2192,22608,0,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1822-08-16","Buenos Aires","Universidad de Buenos Aires","Abogado","Partido Liberal
(1852-1863)
Partido Nacionalista
(1863-1880)
Partido Liberal
(1880-1887)","Buenos Aires, Argentina","1887-03-13","Buenos Aires, Argentina","Argentina",NA,NA,NA,1868
5,"Eduardo Costa","justicia, culto e instrucción pública","Bartolome Mitre",1862-10-15,1867-09-07,1788,4.8952772073922,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1791,401,1791,23009,1,"Democracia","Área político-Institucional","Área Justicia-Otros",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1862
6,"José Evaristo Uriburu","justicia, culto e instrucción pública","Bartolome Mitre",1867-09-07,1868-01-27,142,0.388774811772758,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1933,259,1933,22867,1,"Democracia","Área político-Institucional","Área Justicia-Otros",1,"1831-11-19","Salta","Universidad de Buenos AiresUniversidad Mayor, Real y Pontificia San Francisco Xavier de Chuquisaca","Abogado","Partido Nacionalista
Partido Autonomista Nacional
Unión Cívica Nacional
Partido Republicano
Unión Cívica","Salta, Provincias Unidas del Río de la Plata","1914-10-23","Buenos Aires, Argentina","Argentina",NA,NA,NA,1867
7,"Eduardo Costa","justicia, culto e instrucción pública","Bartolome Mitre",1868-01-27,1868-10-12,259,0.709103353867214,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",2192,0,2192,22608,0,"Democracia","Área político-Institucional","Área Justicia-Otros",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868
8,"Juan Andrés Gelly y Obes","guerra y marina","Bartolome Mitre",1862-10-15,1868-01-31,1934,5.29500342231348,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1937,255,1937,22863,1,"Democracia","Área político-Institucional","Área Defensa",1,"1815-05-21","Buenos Aires",NA,"militar","Partido Unitario
Partido Liberal
Partido Nacionalista
Partido Liberal
Unión Cívica
Unión Cívica Nacional","Buenos Aires (Argentina)","1904-09-18","Buenos Aires (Argentina)","Argentina",NA,"Infantería","Teniente general",1862
9,"Wenceslao Paunero","guerra y marina","Bartolome Mitre",1868-01-31,1868-10-12,255,0.698151950718686,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",2192,0,2192,22608,0,"Democracia","Área político-Institucional","Área Defensa",1,"1805-09-28","Córdoba",NA,"Político, diplomático y militar",NA,"Colonia del Sacramento (Virreinato del Río de la Plata)","1871-06-07","Río de Janeiro (Brasil)","Argentina",NA,"Ejército","Brigadier general",1868
10,"Dalmacio Velez Sarfield","hacienda","Bartolome Mitre",1862-10-16,1864-03-02,503,1.37713894592745,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",507,1685,507,24293,1,"Democracia","Área Económica-Productiva","Área Económica",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1862
11,"Lucas Gonzalez","hacienda","Bartolome Mitre",1864-03-02,1868-01-27,1426,3.90417522245038,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",1933,259,1933,22867,1,"Democracia","Área Económica-Productiva","Área Económica",3,"1819-04-01","Mendoza","Universidad de Chile","Abogado",NA,"Mendoza, Argentina","1908-05-09","Nápoles, Italia","Argentina",NA,NA,NA,1864
12,"Cristobal Aguirre","hacienda","Bartolome Mitre",1868-01-27,1868-10-12,259,0.709103353867214,"1862-10-12","1868-10-12","1862-10-12","1930-09-06",2192,0,2192,22608,0,"Democracia","Área Económica-Productiva","Área Económica",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868
13,"Dalmacio Velez Sarfield","interior","Domingo Faustino Sarmiento",1868-10-12,1872-06-27,1354,3.70704996577687,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",1354,837,3546,21254,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868
14,"Uladislao Frías","interior","Domingo Faustino Sarmiento",1872-06-27,1874-10-12,837,2.29158110882957,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",2191,0,4383,20417,0,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1821-08-13","Tucumán",NA,"Político, juez y abogado",NA,"Argentina","1899-07-24","Argentina","Argentina",NA,NA,NA,1872
15,"Mariano Varela","relaciones exteriores","Domingo Faustino Sarmiento",1868-10-12,1870-08-18,675,1.84804928131417,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",675,1516,2867,21933,1,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868
16,"Carlos Tejedor","relaciones exteriores","Domingo Faustino Sarmiento",1870-08-18,1874-10-12,1516,4.15058179329227,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",2191,0,4383,20417,0,"Democracia","Área político-Institucional","Área Interior-Exteriores-Gabinete",1,"1817-11-04","Buenos Aires","Universidad de Buenos AiresColegio Nacional de Buenos Aires","Jurisconsulto","Partido Liberal
Partido Autonomista
Partido Autonomista de Buenos Aires
Partido Liberal (Argentina, 1880)
Unión Cívica Radical","Buenos Aires, Provincias Unidas del Río de la Plata","1903-01-03","Buenos Aires,  Argentina","Argentina",NA,NA,NA,1870
17,"Nicolas Avellaneda","justicia, culto e instrucción pública","Domingo Faustino Sarmiento",1868-10-12,1873-11-24,1869,5.1170431211499,"1868-10-12","1874-10-12","1862-10-12","1930-09-06",1869,322,4061,20739,1,"Democracia","Área político-Institucional","Área Justicia-Otros",1,"1837-10-03","Tucumán","Universidad de Buenos Aires","Abogado","Partido Nacional
Partido Autonomista Nacional","San Miguel de Tucumán, Tucumán,  Confederación Argentina","1885-11-25","A bordo del buque El Congo, en alta mar","Argentina",NA,NA,NA,1868
